epoch,accuracy,f1-score,iou_score,loss,val_accuracy,val_f1-score,val_iou_score,val_loss
0,0.5635184049606323,0.22634220123291016,0.1505252867937088,0.8037298917770386,0.6074776649475098,0.25360924005508423,0.17172345519065857,0.7774263620376587
1,0.6593932509422302,0.34413689374923706,0.255484014749527,0.6908366680145264,0.6949443817138672,0.4608021378517151,0.36103034019470215,0.5707809329032898
2,0.7028078436851501,0.47328200936317444,0.3730972409248352,0.5643126368522644,0.6755465269088745,0.4810382127761841,0.3744949400424957,0.5545267462730408
3,0.7334648966789246,0.4829511046409607,0.38127604126930237,0.5544533729553223,0.7047186493873596,0.49353721737861633,0.39145395159721375,0.549964427947998
4,0.7482755780220032,0.5160622596740723,0.4103080928325653,0.5264019966125488,0.7492384314537048,0.5426115393638611,0.4322071969509125,0.49411705136299133
5,0.7630305290222168,0.5328396558761597,0.4256573021411896,0.5083234906196594,0.7544923424720764,0.5493531227111816,0.4428021013736725,0.49347710609436035
6,0.7824525833129883,0.561948299407959,0.45547065138816833,0.47731128334999084,0.7634151577949524,0.5640828013420105,0.4534802734851837,0.4782015383243561
7,0.7953364253044128,0.5724214315414429,0.46493563055992126,0.4661952555179596,0.7979980707168579,0.5872867107391357,0.47977301478385925,0.44695353507995605
8,0.8085425496101379,0.5949451327323914,0.4898156523704529,0.4421044886112213,0.7938587069511414,0.598447859287262,0.4883233904838562,0.444743275642395
9,0.8153454661369324,0.5892152786254883,0.483402818441391,0.4431377947330475,0.7918199896812439,0.6081846356391907,0.49773794412612915,0.42969557642936707
10,0.8217407464981079,0.612820029258728,0.5088536739349365,0.4195181727409363,0.7951695919036865,0.6041043400764465,0.4972558915615082,0.43894335627555847
11,0.818978488445282,0.5992155075073242,0.4964517652988434,0.4370349645614624,0.8018727898597717,0.6194940805435181,0.5126067399978638,0.41432902216911316
12,0.8237756490707397,0.6110085248947144,0.5074780583381653,0.4202868640422821,0.8171426057815552,0.6394632458686829,0.5336589813232422,0.39471662044525146
13,0.8197476863861084,0.6111559867858887,0.5058073401451111,0.4193018674850464,0.773682177066803,0.5956739187240601,0.48726850748062134,0.448824942111969
14,0.8261697292327881,0.622982382774353,0.51991206407547,0.41119563579559326,0.7924683690071106,0.6225958466529846,0.5129315257072449,0.4165780544281006
15,0.8288646936416626,0.6255275011062622,0.5220325589179993,0.4064597487449646,0.8050981163978577,0.6209777593612671,0.5135849118232727,0.41423630714416504
16,0.8280931711196899,0.6258450746536255,0.5215538740158081,0.40506109595298767,0.8264992833137512,0.628758430480957,0.5225472450256348,0.40153607726097107
17,0.8268290758132935,0.6159617304801941,0.5123075246810913,0.41485595703125,0.8152822852134705,0.6293215751647949,0.5282578468322754,0.41037890315055847
18,0.8361656069755554,0.6280835270881653,0.5278013348579407,0.39918288588523865,0.8211889863014221,0.6245814561843872,0.5206800103187561,0.4095988869667053
19,0.8372887372970581,0.6448279023170471,0.5441966652870178,0.385540246963501,0.8249847292900085,0.6454199552536011,0.5388404726982117,0.3867819607257843
20,0.8376540541648865,0.6391586661338806,0.5382078289985657,0.38743987679481506,0.8246315121650696,0.6467886567115784,0.5432912111282349,0.3864721953868866
21,0.8416466116905212,0.633495569229126,0.534814178943634,0.39264464378356934,0.8078705072402954,0.6334418058395386,0.5283634066581726,0.40458378195762634
