epoch,accuracy,loss,val_accuracy,val_loss
0,0.6671546101570129,0.009737879037857056,0.3838624060153961,0.03559710830450058
1,0.737510085105896,0.004846329800784588,0.553304135799408,0.017532801255583763
2,0.7502155900001526,0.003986064810305834,0.817295253276825,0.005497138947248459
3,0.7674290537834167,0.0036390642635524273,0.8405928611755371,0.00321914441883564
4,0.7709616422653198,0.003323186654597521,0.8336951732635498,0.0022724750451743603
5,0.7816202640533447,0.0030153978150337934,0.8297693729400635,0.002032813150435686
6,0.7942550778388977,0.002823563991114497,0.8242236971855164,0.002044430933892727
7,0.7930644154548645,0.0026346200611442327,0.8467316627502441,0.0013851438416168094
8,0.7972962856292725,0.0026072217151522636,0.7894563674926758,0.0024787127040326595
9,0.7956671714782715,0.002513791201636195,0.8627203702926636,0.0014922351110726595
0,0.8017666935920715,0.0024482673034071922,0.8452356457710266,0.001997467363253236
1,0.8010292053222656,0.002548172138631344,0.8707025051116943,0.0014171196380630136
2,0.812096893787384,0.002239554189145565,0.8349531888961792,0.0017093757633119822
3,0.807691216468811,0.002293987665325403,0.88761967420578,0.0016981310909613967
4,0.814221978187561,0.002083815401419997,0.8714103698730469,0.0013470344711095095
5,0.8163113594055176,0.0021369338501244783,0.8584416508674622,0.0017711723921820521
6,0.8191336393356323,0.002128327963873744,0.8587743043899536,0.0017586193280294538
7,0.8141166567802429,0.0020393971353769302,0.8264027237892151,0.00139414903242141
