epoch,accuracy,loss,val_accuracy,val_loss
0,0.5531273484230042,0.03560151159763336,0.39918914437294006,0.04808562248945236
1,0.6886730194091797,0.008195793256163597,0.503538966178894,0.03293049335479736
2,0.7277837991714478,0.006692257709801197,0.5967684388160706,0.026231221854686737
3,0.7450073957443237,0.005187510047107935,0.5449060797691345,0.01507064513862133
4,0.7675678730010986,0.00486072339117527,0.6419041752815247,0.011460029520094395
5,0.7707468271255493,0.004344371613115072,0.7246472835540771,0.005533330608159304
6,0.7719956636428833,0.00393638713285327,0.7561749815940857,0.0050474172458052635
7,0.7863799333572388,0.003439891617745161,0.806256115436554,0.002482806798070669
8,0.7806241512298584,0.0036099690478295088,0.8015437126159668,0.003090793499723077
9,0.7934913039207458,0.0034611178562045097,0.8219098448753357,0.0022925613448023796
10,0.783142626285553,0.0036953971721231937,0.7742044925689697,0.0022658102679997683
11,0.7984763383865356,0.0034457219298928976,0.8848153352737427,0.0013420121977105737
12,0.793078601360321,0.003210641210898757,0.8338527679443359,0.0017005472909659147
13,0.7942308783531189,0.0034483138006180525,0.8401687741279602,0.0014573053922504187
14,0.7831720113754272,0.0036350195296108723,0.7821540236473083,0.001546364394016564
