epoch,accuracy,loss,val_accuracy,val_loss
0,0.40262508392333984,0.15413722395896912,0.3532150983810425,0.15430289506912231
1,0.42729640007019043,0.09577252715826035,0.41423195600509644,0.09067234396934509
2,0.43837860226631165,0.08363019675016403,0.4291227459907532,0.08128608763217926
3,0.44644302129745483,0.07601503282785416,0.43691253662109375,0.07364904880523682
4,0.46212688088417053,0.07236545532941818,0.4333333969116211,0.07333005219697952
5,0.46749022603034973,0.0687977597117424,0.460737407207489,0.07056590169668198
6,0.4752480387687683,0.06661900877952576,0.45647796988487244,0.06686005741357803
7,0.4818936586380005,0.06188309192657471,0.45293286442756653,0.06465363502502441
8,0.4894483983516693,0.05801665410399437,0.4399075508117676,0.06473519653081894
9,0.4935993254184723,0.05529416352510452,0.4586242735385895,0.05930721387267113
10,0.5020254850387573,0.05333324521780014,0.4812158942222595,0.05816110596060753
11,0.5015087723731995,0.05237368866801262,0.5080327987670898,0.05310473591089249
12,0.5111743211746216,0.051378101110458374,0.4873160719871521,0.05339687317609787
13,0.5088865756988525,0.05033104866743088,0.5316119194030762,0.05190278962254524
14,0.5099533200263977,0.04913292080163956,0.4971276819705963,0.0517679825425148
15,0.5162217617034912,0.04818703234195709,0.5125802755355835,0.05141156166791916
16,0.5159595608711243,0.048146508634090424,0.503703773021698,0.052046194672584534
17,0.5270922780036926,0.04589403048157692,0.5272778272628784,0.047729313373565674
18,0.5225996375083923,0.046555422246456146,0.5289586186408997,0.04918636009097099
19,0.5292019248008728,0.045014865696430206,0.5212045311927795,0.050244834274053574
